dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1609459200,2021-01-01 00:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,275.48,10000,270.88,270.57,274.56,275.82,1025,,,70,6.2,280,0,,,,,100,804,Clouds,overcast clouds,04n
1609462800,2021-01-01 01:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,275.4,10000,270.64,271.27,274.56,275.82,1026,,,69,4.6,280,0,,,,,75,803,Clouds,broken clouds,04n
1609466400,2021-01-01 02:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,274.7,10000,270.55,270.4,273.62,275.2,1027,,,72,4.6,280,0,,,,,75,803,Clouds,broken clouds,04n
1609470000,2021-01-01 03:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,273.41,10000,270.39,268.8,271.62,274.63,1028,,,78,4.6,260,0,,,,,20,801,Clouds,few clouds,02n
1609473600,2021-01-01 04:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,272.37,10000,269.85,269.66,269.62,274.63,1028,,,81,2.1,280,0,,,,,20,801,Clouds,few clouds,02n
1609477200,2021-01-01 05:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,272.23,10000,269.71,267.02,270.61,274.07,1029,,,81,5.1,280,0,,,,,20,801,Clouds,few clouds,02n
1609480800,2021-01-01 06:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,271.93,10000,268.97,268.58,269.62,272.92,1030,,,78,2.6,270,0,,,,,0,800,Clear,sky is clear,01n
1609484400,2021-01-01 07:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,270.94,10000,268.15,267.99,268.62,272.96,1030,,,79,2.1,280,0,,,,,0,800,Clear,sky is clear,01n
1609488000,2021-01-01 08:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,270.15,10000,267.96,267.97,268.62,272.34,1031,,,83,1.5,30,0,,,,,0,800,Clear,sky is clear,01n
1609491600,2021-01-01 09:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,269.64,10000,267.73,267.39,266.62,271.85,1031,,,85,1.5,80,0,,,,,0,800,Clear,sky is clear,01n
1609495200,2021-01-01 10:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,269.44,10000,267.94,269.44,266.43,271.29,1031,,,88,0,0,0,,,,,0,800,Clear,sky is clear,01n
1609498800,2021-01-01 11:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,268.8,10000,267.17,268.8,266.62,271.23,1032,,,87,0,0,0,,,,,0,800,Clear,sky is clear,01n
1609502400,2021-01-01 12:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,268.27,10000,267.17,268.27,265.62,271.23,1031,,,91,0,0,0,,,,,20,801,Clouds,few clouds,02n
1609506000,2021-01-01 13:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,268.47,10000,267.24,268.47,266.43,271.23,1031,,,90,0,0,0,,,,,75,803,Clouds,broken clouds,04d
1609509600,2021-01-01 14:00:00 +0000 UTC,-18000,Albany,42.652579,-73.756232,270.78,10000,268.72,270.78,269.62,271.31,1034,,,84,0,0,0,,,,,40,741,Fog,fog,50d
