dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1609459200,2021-01-01 00:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,277.56,10000,273.71,274.87,276.88,278.13,1026,,,76,3.1,330,0,,,,,100,804,Clouds,overcast clouds,04n
1609462800,2021-01-01 01:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,277.61,10000,272.86,274.59,276.88,278.57,1027,,,71,3.6,330,,,,,,100,804,Clouds,overcast clouds,04n
1609466400,2021-01-01 02:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,277.03,10000,272.36,273.04,275.8,278.13,1028,,,71,5.1,360,0,,,,,40,802,Clouds,scattered clouds,03n
1609470000,2021-01-01 03:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,276.14,10000,271.44,271.41,274.69,277.57,1029,,,70,6.2,10,0,,,,,0,800,Clear,sky is clear,01n
1609473600,2021-01-01 04:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.4,10000,270.46,270.7,274.11,276.9,1029,,,68,5.7,10,0,,,,,0,800,Clear,sky is clear,01n
1609477200,2021-01-01 05:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,274.47,10000,269.85,270.42,272.71,275.79,1030,,,69,4.1,360,,,,,,0,800,Clear,sky is clear,01n
1609480800,2021-01-01 06:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,273.79,10000,269.27,270.79,272.15,275.77,1030,,,69,2.6,360,,,,,,0,800,Clear,sky is clear,01n
1609484400,2021-01-01 07:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,273.36,10000,269.07,269.82,271.33,275.23,1031,,,70,3.1,350,,,,,,0,800,Clear,sky is clear,01n
1609488000,2021-01-01 08:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,272.68,10000,268.76,270.02,271.04,273.57,1032,,,72,2.1,350,,,,,,0,800,Clear,sky is clear,01n
1609491600,2021-01-01 09:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,271.97,10000,268.55,269.19,270.86,274.61,1031,,,75,2.1,350,,,,,,0,800,Clear,sky is clear,01n
1609495200,2021-01-01 10:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,271.65,10000,268.24,268.24,270.14,274.11,1032,,,75,2.6,360,,,,,,0,800,Clear,sky is clear,01n
1609498800,2021-01-01 11:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,271.64,10000,268.23,267.32,270.14,274.37,1032,,,75,3.6,40,0,,,,,0,800,Clear,sky is clear,01n
1609502400,2021-01-01 12:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,271.48,10000,268.23,268.62,270.14,273.71,1033,,,76,2.1,350,,,,,,0,800,Clear,sky is clear,01n
1609506000,2021-01-01 13:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,271.8,10000,268.54,266.8,269.87,273.97,1033,,,76,4.6,40,0,,,,,0,800,Clear,sky is clear,01d
1609509600,2021-01-01 14:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,273.7,10000,269.69,269.47,271.99,274.68,1033,,,72,4.1,40,0,,,,,0,800,Clear,sky is clear,01d
1609513200,2021-01-01 15:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275,10000,270.47,271.07,273.2,275.89,1033,,,70,4.1,70,0,,,,,0,800,Clear,sky is clear,01d
1609516800,2021-01-01 16:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.77,10000,270.6,272.02,274.66,276.44,1032,,,67,4.1,70,,,,,,0,800,Clear,sky is clear,01d
1609520400,2021-01-01 17:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,276.13,10000,270.73,272.79,275.25,276.9,1031,,,66,3.6,70,0,,,,,75,803,Clouds,broken clouds,04d
1609524000,2021-01-01 18:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,276.01,10000,271.83,273.01,275.22,276.44,1029,,,73,3.1,80,,0.35,,,,100,500,Rain,light rain,10d
1609527600,2021-01-01 19:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.48,10000,272.33,274.05,274.66,276.14,1029,,,79,1.5,80,,1.19,,,,100,501,Rain,moderate rain,10d
1609531200,2021-01-01 20:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.59,10000,272.57,270.71,274.66,276.34,1027,,,80,6.2,50,,0.34,,,,100,500,Rain,light rain,10d
1609534800,2021-01-01 21:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.37,10000,272.54,270.96,274.38,275.93,1027,,,81,5.1,50,,0.34,1.3,,,100,500,Rain,light rain,10d
1609538400,2021-01-01 22:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.15,9656,272.78,270.96,274.11,275.89,1026,,,84,4.6,60,,1.6,,,,100,501,Rain,moderate rain,10n
1609538400,2021-01-01 22:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.15,9656,272.78,270.96,274.11,275.89,1026,,,84,4.6,60,,1.6,,,,100,701,Mist,mist,50n
1609542000,2021-01-01 23:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.12,4828,273.04,270.11,274.38,275.74,1024,,,86,6.2,80,,3.01,,,,100,501,Rain,moderate rain,10n
1609542000,2021-01-01 23:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.12,4828,273.04,270.11,274.38,275.74,1024,,,86,6.2,80,,3.01,,,,100,701,Mist,mist,50n
1609545600,2021-01-02 00:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.47,6437,274,271.35,274.69,276.03,1022,,,90,4.6,60,,3.33,,,,100,501,Rain,moderate rain,10n
1609545600,2021-01-02 00:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.47,6437,274,271.35,274.69,276.03,1022,,,90,4.6,60,,3.33,,,,100,701,Mist,mist,50n
1609549200,2021-01-02 01:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.9,4828,274.58,272.51,275.14,276.44,1021,,,91,3.6,30,,3.3,,,,100,501,Rain,moderate rain,10n
1609549200,2021-01-02 01:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,275.9,4828,274.58,272.51,275.14,276.44,1021,,,91,3.6,30,,3.3,,,,100,701,Mist,mist,50n
1609552800,2021-01-02 02:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,276.38,4828,274.9,272.77,275.77,277.13,1019,,,90,4.1,50,,4.35,,,,100,502,Rain,heavy intensity rain,10n
1609552800,2021-01-02 02:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,276.38,4828,274.9,272.77,275.77,277.13,1019,,,90,4.1,50,,4.35,,,,100,701,Mist,mist,50n
1609556400,2021-01-02 03:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,276.85,6437,275.05,273.67,275.49,277.55,1018,,,88,3.6,40,0,3,11.9,,,100,501,Rain,moderate rain,10n
1609556400,2021-01-02 03:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,276.85,6437,275.05,273.67,275.49,277.55,1018,,,88,3.6,40,0,3,11.9,,,100,701,Mist,mist,50n
1609560000,2021-01-02 04:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,277.08,10000,275.44,273.35,276.33,277.55,1015,,,89,4.6,70,,0.63,,,,100,500,Rain,light rain,10n
1609563600,2021-01-02 05:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,277.36,10000,275.55,273.7,276.33,278.11,1013,,,88,4.6,40,,0.25,,,,100,500,Rain,light rain,10n
1609567200,2021-01-02 06:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,277.72,2414,276.07,275.46,276.88,278.52,1012,,,89,2.6,10,0,0.44,,,,100,500,Rain,light rain,10n
1609567200,2021-01-02 06:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,277.72,2414,276.07,275.46,276.88,278.52,1012,,,89,2.6,10,0,0.44,,,,100,701,Mist,mist,50n
1609570800,2021-01-02 07:00:00 +0000 UTC,-18000,Wilmington,39.744655,-75.548391,277.71,3219,276.52,276.6,276.88,278.68,1012,,,92,1.5,0,0,0.26,,,,100,701,Mist,mist,50n
