dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1609459200,2021-01-01 00:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,269.87,10000,266.03,265.16,269.12,274.58,1024,,,72,3.6,70,,,,,,100,804,Clouds,overcast clouds,04n
1609462800,2021-01-01 01:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,269.34,10000,265.52,263.4,268.8,272.36,1023,,,72,5.1,100,0,,,,,100,804,Clouds,overcast clouds,04n
1609466400,2021-01-01 02:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,268.2,10000,265.9,262.32,267.87,268.52,1026,,,82,4.6,90,0,,,,,100,804,Clouds,overcast clouds,04n
1609470000,2021-01-01 03:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,267.48,10000,265.74,260.48,267.18,267.92,1027,,,86,6.2,140,0,,,,,100,804,Clouds,overcast clouds,04n
1609473600,2021-01-01 04:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,267.24,10000,265.5,260.77,266.76,267.66,1026,,,86,5.1,90,0,,,,,100,804,Clouds,overcast clouds,04n
1609477200,2021-01-01 05:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,266.51,10000,264.91,260.22,266.18,267.11,1026,,,87,4.6,80,,,,,,100,804,Clouds,overcast clouds,04n
1609480800,2021-01-01 06:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,266.96,9000,265.22,261.62,266.25,267.18,1024,,,86,3.6,80,,,,,,100,701,Mist,mist,50n
1609484400,2021-01-01 07:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,267.27,9656,265.53,261.56,266.76,267.6,1022,,,86,4.1,70,0,,,,,100,701,Mist,mist,50n
1609488000,2021-01-01 08:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,268.11,9656,266.09,262.59,267.32,268.22,1022,,,84,4.1,90,,,,,,100,701,Mist,mist,50n
1609491600,2021-01-01 09:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,268.47,9656,266.16,263.46,267.32,269.18,1023,,,82,3.6,60,0,,,,,100,721,Haze,haze,50n
1609495200,2021-01-01 10:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,267.36,9656,265.48,260.53,266.5,267.66,1021,,,85,5.7,50,,,,,,0,701,Mist,mist,50n
1609498800,2021-01-01 11:00:00 +0000 UTC,-21600,Moline,41.5067,-90.515134,267.88,9656,266,260.9,266.21,268.2,1021,,,85,6.2,40,,,,,,20,721,Haze,haze,50n
